Sample	SAMP000	SAMP001	SAMP002	SAMP003	SAMP004	SAMP005	SAMP006	SAMP007	SAMP008	SAMP009	SAMP010	SAMP011	SAMP012	SAMP013	SAMP014	SAMP015	SAMP016	SAMP017	SAMP018	SAMP019	SAMP020	SAMP021	SAMP022	SAMP023	SAMP024	SAMP025	SAMP026	SAMP027	SAMP028	SAMP029	SAMP030	SAMP031	SAMP032	SAMP033	SAMP034	SAMP035	SAMP036	SAMP037	SAMP038	SAMP039	SAMP040	SAMP041	SAMP042	SAMP043	SAMP044	SAMP045	SAMP046	SAMP047	SAMP048	SAMP049	SAMP100	SAMP101	SAMP102	SAMP103	SAMP104	SAMP105	SAMP106	SAMP107	SAMP108	SAMP109	SAMP110	SAMP111	SAMP112	SAMP113	SAMP114	SAMP115	SAMP116	SAMP117	SAMP118	SAMP119	SAMP120	SAMP121	SAMP122	SAMP123	SAMP124	SAMP125	SAMP126	SAMP127	SAMP128	SAMP129	SAMP130	SAMP131	SAMP132	SAMP133	SAMP134	SAMP135	SAMP136	SAMP137	SAMP138	SAMP139	SAMP140	SAMP141	SAMP142	SAMP143	SAMP144	SAMP145	SAMP146	SAMP147	SAMP148	SAMP149
CaseCont	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEAT0001	"No Data"""	"No Data"""	"No Data"""	"No Data"""	"No Data"""	1171.107	857.378	642.437	1355.228	1677.17	1315.999	1219.748	824.512	909.441	1193.856	999.364	563.917	1525.876	1130.456	906.82	1305.466	640.791	1118.946	722.989	353.874	1374.474	1147.698	699.725	788.965	1135.772	289.599	1016.903	1611.232	1735.102	709.941	1442.125	1288.831	1037.96	1125.074	1105.76	1310.957	68.065	953.794	939.746	739.436	395.942	759.585	1254.318	843.525	822.416	571.534	893.721	348.052	482.023	184.441	776.105	708.916	80.273	815.019	586.21	439.819	799.97	938.458	794.12	675.245	424.771	759.925	1198.547	1330.178	555.52	862.165	598.891	818.676	558.835	948.326	312.809	790.176	679.352	369.751	328.641	576.928	850.136	456.878	768.453	508.853	753.909	868.55	803.753	689.306	380.758	791.361	26.505	658.132	281.45	515.096	694.01	217.806	736.162	578.701	249.46
FEAT0002	1849.532	4585.624	2486.144	3134.618	2825.55	2170.264	2393.617	2577.612	2004.685	971.476	4233.191	3354.728	4663.679	3015.101	4393.87	4240.477	3162.188	3025.649	1403.978	1844.306	1933.413	2271.313	3122.243	3742.942	177.394	2531.74	2737.639	4379.649	3214.509	1837.96	2160.154	984.446	2620.095	3372.485	2461.254	5154.123	1450.641	1767.489	3909.392	2884.164	4164.151	2023.069	1298.734	4514.103	2256.058	3832.576	2065.894	2763.398	4303.245	2222.011	2071.677	1220.197	1092.767	1633.984	2601.912	837.963	1458.382	552.281	1135.008	974.15	2020.395	1428.483	2085.797	966.531	1541.859	2440.226	2315.648	2732.328	1611.861	2930.25	62.499	1231.89	1369.437	1587.741	826.906	1162.991	768.274	1400.323	637.036	2434.583	1788.58	975.275	850.767	1299.467	2012.723	1495.195	1284.179	1631.502	1289.22	1273.189	1456.01	600.413	2458.214	1932.127	2443.448	1789.773	1150.611	1343.599	1590.31	1583.84
FEAT0003	2827.039	2168.488	1287.832	827.012	1745.26	3038.015	2081.225	1679.66	1517.122	1902.167	3126.378	1567.125	2258.418	2005.16	2241.168	2855.702	2856.444	2214.905	2927.729	1778.994	2557.046	129.487	1322.753	1513.732	1427.584	1206.435	2637.826	1786.028	1885.649	2220.787	286.962	3304.478	652.055	1549.053	2071.842	3247.902	2008.405	2610.146	1246.489	1337.71	1488.624	2743.068	2326.558	2813.487	1737.849	538.66	2519.302	3490.593	2268.255	2540.52	880.263	1206.95	1267.052	634.67	1130.97	1110.056	943.711	41.088	234.111	606.53	1140.985	561.375	1531.201	1219.402	1529.31	963.468	508.36	1135.362	1212.109	784.269	1016.239	672.535	591.369	1742.146	835.949	1056.449	948.72	1625.895	442.955	1102.809	732.549	934.985	367.565	240.045	374.845	1231.855	1050.084	1444.218	437.766	855.963	1831.803	1100.277	1031.486	537.693	707.493	351.692	844.952	962.698	523.626	421.603
FEAT0004	1455.939	738.978	222.381	1964.286	2563.464	1327.579	1019.844	251.768	2087.887	130.945	217.436	2046.412	800.664	1099.379	553.623	630.32	1551.343	2076.706	59.635	1302.817	796.838	1196.666	1330.738	440.973	1963.172	2638.532	1702.98	1196.927	342.414	1282.153	2375.442	2547.302	740.441	662.236	1233.469	2636.897	1054.17	190.749	1674.705	982.693	1139.571	2474.065	1634.611	709.515	1500.502	968.854	2022.551	2307.95	697.531	1361.098	1776.866	480.61	1710.922	1386.183	201.372	1313.372	181.943	383.915	1047.048	361.325	661.234	1395.214	1692.82	1291.33	61.245	625.315	613.271	359.024	1335.37	1360.326	363.711	1402.098	1097.792	1603.27	834.163	561	288.732	728.333	213.747	1768.148	668.374	1532.457	428.319	1285.651	1233.563	654	1468.773	1747.181	723.238	453.351	1567.264	399.038	1162.397	1458.805	599.392	1461.192	1354.663	5.133	402.556	1249.356
FEAT0005	2192.812	4383.357	369.36	1800.542	3555.205	3136.176	2919.432	2571.93	1919.793	3468.973	3889.62	1588.198	2928.498	1522.77	1947.302	600.942	4085.705	1156.043	4823.327	1136.147	2003.02	1710.947	2225.757	3809.188	850.112	80.674	4817.681	277.375	4830.203	2869.786	4554.287	2770.983	1888.727	983.527	497.227	2992.414	1824.009	2045.465	2415.792	668.861	2384.413	2823.793	3590.128	1149.536	4328.854	4851.595	1140.477	548.318	550.074	367.991	2511.202	747.8	657.55	2466.91	100.641	331.908	1563.964	2136.775	51.419	1657.349	2125.03	615.428	1523.564	1855.985	745.721	2480.822	2029.641	890.202	1520.475	848.517	2262.457	2694.427	528.49	2422.277	2204.441	462.564	152.565	2001.795	2318.375	785.943	2605.91	356.445	1078.375	2444.511	2593.665	992.974	900.418	723.395	540.5	651.594	1339.766	932.693	192.151	2739.737	1319.933	1314.706	1126.935	1307.303	1144.983	2040.146
FEAT0006	4941.128	3808.261	3345.356	3389.035	2721.743	3850.587	1541.396	5003.927	317.448	2741.926	2680.375	138.315	1442.56	2538.258	5040.154	4065.1	3152.207	4246.543	69.134	315.305	4541.611	4861.139	4734.423	3746.716	896.027	1788.545	4046.909	5378.563	2503.541	5050.016	2324.019	2618.401	1289.581	3184.212	1870.447	2844.332	308.297	223.736	5348.787	4519.491	485.542	2206.253	769.578	5295.951	2579.922	2917.975	768.792	2891.11	3097.331	437.232	113.736	1654.804	1143.775	109.163	439.558	1963.016	2638.613	610.4	1686.932	831.149	65.656	1307.382	2492.103	1909.551	929.34	2498.146	837.944	802.38	103.4	826.063	1023.243	394.491	913.326	782.313	515.085	1679.618	2171.399	1179.076	1797.506	676.406	775.457	1447.446	919.343	1955.433	2150.096	2444.01	1345.04	575.748	96.611	194.332	111.082	266.867	871.844	566.44	347.545	718.336	411.512	645.476	2302.432	1793.799
FEAT0007	1459.441	1440.07	2597.759	2134.505	1427.746	1370.196	2255.295	2586.376	2564.285	235.865	2201.958	1285.26	2924.462	1737.064	1504.282	2356.81	1929.944	1285.47	2765.339	1492.933	1039.692	1616.776	1255.933	1474.826	2709.6	926.024	2210.14	2061.588	2107.579	2669.466	2701.321	2201.584	1880.781	2042.728	1599.615	1447.933	1607.659	503.545	2560.097	1337.653	1114.844	2517.826	1748.869	2725.122	2176.146	1545.521	2376.762	2834.654	2434.653	2174.145	1614.325	1489.114	1115.494	1885.151	2274.482	1916.419	2217.834	2011.306	2059.901	1965.587	2692.024	1675.896	2566.724	1084.56	2155.612	1788.283	1880.219	1925.797	2846.314	987.055	1108.703	2352.694	1867.776	280.324	1749.027	1290.496	1193.683	2750.492	1358.368	1712.367	1707.812	213.565	1580.94	1178.88	1032.596	764.998	2551.921	2391.111	1366.454	859.899	1753.832	1523.088	2339.072	1670.086	1510.527	1926.425	1552.836	2613.8	1892.171	1427.561
FEAT0008	1190.215	832.084	1284.889	992.61	720.178	1326.36	81.158	718.664	1011.022	1130.29	635.271	1174.262	342.773	189.17	287.681	1368.617	544.159	269.225	208.3	939.236	1207.452	714.16	723.523	1359.279	333.714	225.419	326.651	1295.864	624.918	184.47	1139.922	1344.354	870.832	452.468	1437.542	1183.939	343.843	424.541	796.042	294.903	14.817	619.792	1264.327	1405.762	859.714	1370.895	387.742	393.906	490.041	60.004	27.272	1460.716	306.524	143.441	629.447	883.437	848.232	615.053	1470.849	574.895	793.411	430.278	1104.91	1400.587	1111.738	815.09	1046.503	99.66	1158.237	132.163	345.489	2.897	1378.016	301.89	637.641	1093.399	154.016	923.349	340.022	1262.864	477.766	778.81	485.293	117.254	1141.09	271.402	1306.695	795.244	192.458	849.045	976.118	54.759	614.461	395.91	160.24	533.509	176.037	1363.272	908.868	937.493
FEAT0009	545.474	779.212	582.948	364.808	691.173	624.837	448.43	386.427	406.695	385.431	665.297	478.636	686.598	400.099	335.981	635.816	274.348	413.766	732.416	213.961	345.464	638.978	429.4	638.764	622.73	510.234	194.764	513.04	546.433	582.439	543.861	534.87	606.006	466.94	476.345	126.295	320.082	613.515	403.62	676.562	478.056	468.706	459.861	433.572	229.365	399.809	441.446	359.427	269.019	293.253	507.802	505.756	423.618	630.005	310.014	586.404	433.487	475.533	264.779	673.858	627.33	493.419	431.126	501.14	520.015	403.478	221.84	536.586	699.029	607.342	659.887	269.39	353.791	857.406	500.898	470.082	616.543	770.644	444.225	179.722	630.199	795.237	585.683	349.583	816.81	297.091	601.764	603.144	521.716	511.907	659.927	657.433	360.09	384.381	407.183	465.097	132.336	331.452	340.444	494.044
