	Score	Cut
FEAT0007	0.00005	2885.38794
FEAT0011	0.00005	1492.58154
FEAT0015	0.00005	4448.12939
FEAT0016	0.00005	602.26648
FEAT0020	0.00005	2202.50732
FEAT0022	0.00005	3226.21899
FEAT0027	0.00005	2159.98804
FEAT0028	0.00005	1745.64209
FEAT0033	0.00005	2854.34766
FEAT0035	0.00005	976.18298
FEAT0037	0.00005	2284.02588
FEAT0040	0.00005	598.17346
FEAT0041	0.00005	4138.58203
FEAT0048	0.00005	3002.24097
FEAT0008	0.00021	1449.12891
FEAT0014	0.00021	2058.08789
FEAT0017	0.00021	3718.59033
FEAT0021	0.00021	2771.75195
FEAT0023	0.00021	1171.01196
FEAT0025	0.00021	1246.04102
FEAT0030	0.00021	669.61304
FEAT0031	0.00021	2872.02686
FEAT0032	0.00021	3773.19385
FEAT0042	0.00021	703.86499
FEAT0043	0.00021	218.9975
FEAT0044	0.00021	2169.31641
FEAT0046	0.00021	464.5
FEAT0009	0.00048	787.22449
FEAT0024	0.00048	29.156
FEAT0029	0.00048	216.564
FEAT0036	0.00048	952.41699
FEAT0038	0.00048	29.6225
FEAT0039	0.00048	746.76849
FEAT0045	0.00048	2196.87842
FEAT0010	0.00087	400.599
FEAT0013	0.00087	16.1625
FEAT0018	0.00087	2088.03613
FEAT0049	0.00087	477.94348
FEAT0026	0.00139	97.524
FEAT0034	0.00139	115.7215
FEAT0019	0.00204	572.27698
FEAT0047	0.00204	127.743
FEAT0001	0.00284	1342.703
FEAT0012	0.0049	400.26099
FEAT0050	0.0049	2994.48486
FEAT0004	0.01121	1870.01904
FEAT0005	0.03158	2755.35986
FEAT0002	0.03576	2972.67554
FEAT0006	0.07765	2659.49414
FEAT0003	0.08591	1858.72607
