	vartest
FEAT0001	3.03429
FEAT0002	2.63848
FEAT0003	2.23656
FEAT0004	3.77619
FEAT0005	3.46013
FEAT0006	2.79242
FEAT0007	3.94449
FEAT0008	4.01673
FEAT0009	4.01515
FEAT0010	3.91559
FEAT0011	4.03453
FEAT0012	3.88854
FEAT0013	4.03959
FEAT0014	4.03775
FEAT0015	3.91477
FEAT0016	4.02832
FEAT0017	4.03945
FEAT0018	4.02264
FEAT0019	4.03937
FEAT0020	4.02709
FEAT0021	3.93741
FEAT0022	4.04081
FEAT0023	4.02483
FEAT0024	4.02518
FEAT0025	4.03364
FEAT0026	4.02915
FEAT0027	3.93027
FEAT0028	4.03602
FEAT0029	4.02954
FEAT0030	4.02276
FEAT0031	3.99452
FEAT0032	4.03688
FEAT0033	4.03988
FEAT0034	4.01284
FEAT0035	4.04057
FEAT0036	4.03504
FEAT0037	4.03939
FEAT0038	4.04077
FEAT0039	3.95626
FEAT0040	4.03848
FEAT0041	3.97519
FEAT0042	3.99232
FEAT0043	4.04081
FEAT0044	4.01053
FEAT0045	3.98309
FEAT0046	4.04009
FEAT0047	3.99152
FEAT0048	4.03312
FEAT0049	4.03307
FEAT0050	3.51677
